id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品
58804,大飯糰泡菜鮪魚,158,1,277,48.2,7.1,6.2,0.9,0,493,0,1,0,1,0,1,1,0,1,0,1,0,1
227221,芝麻香鬆飯糰,109,1,237,39.1,5.8,6.3,0.9,0,355,3.6,1,0,1,0,0,0,0,1,0,0,0,0
322510,鮑菇脆筍飯糰,108,1,165,32.7,3.7,2.2,0.3,0,329,1.5,1,0,1,0,0,0,0,1,0,0,0,0
396531,大飯糰辣炒豬肉,156,1,256,48.5,6.6,3.9,0.9,0,507,2,1,0,1,0,0,0,0,1,0,1,0,1
459125,稻荷壽司,161,1,287,54.3,8.9,3.9,1.1,0,634,15.5,1,0,1,0,0,0,0,0,0,0,0,1
493218,大飯糰韓式炙燒美乃雞,150,1,270,48.8,8.3,4.7,1.1,0,596,1.5,1,0,1,0,0,0,0,1,0,1,0,0
493236,大飯糰韓式烤牛肉,158,1,250,46.1,6.6,4.3,1.6,0,632,1.4,1,0,1,0,1,0,0,0,0,1,0,1
539583,蔬食鮪魚飯糰,105,1,188,35,4.5,3.4,0.9,0,376,1.2,1,1,1,0,0,0,0,1,0,0,0,0
558422,鹽蔥燒肉飯糰,105,1,174,30.8,5.7,3.2,0.6,0,349,0,1,0,1,0,0,0,0,1,0,1,0,0
567691,香檸松阪豬烤飯糰,94,1,204,39.1,5.7,2.7,0.8,0,327,1.2,1,0,1,0,1,0,0,0,0,1,0,1
577161,椒麻肉鬆飯糰,103,1,234,36.8,5.3,7.3,1.3,0,218,2.7,1,1,1,0,0,0,0,1,0,1,0,0
577216,清酒蒸蛤蜊烤飯糰,99,1,166,31.6,5,2.3,0.5,0,401,1.1,1,0,1,0,1,0,0,0,0,1,0,1
577234,柚子胡椒雞肉烤飯糰,103,1,191,36.3,6.3,2.3,0.5,0,341,2.1,1,0,1,0,1,0,0,0,0,1,0,1
611098,壽喜燒牛五花飯糰,110,1,209,30.4,7.3,6.5,2.3,0,316,0.8,1,0,1,0,1,0,0,1,0,0,0,1
612008,鮪魚飯糰,106,1,188,32,5,4.3,0.8,0,195,0.8,1,0,1,0,0,0,0,1,0,1,0,1
612026,明太子龍蝦風味沙拉飯糰,105,1,211,34.7,4.5,6,1,0,344,1.4,0,0,1,0,1,1,0,0,0,1,0,1
612121,紅鮭飯糰,97,1,171,33.7,5.2,1.8,0.4,0,380,0,0,0,1,0,0,0,0,0,0,0,0,1
