id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品,不含牛肉,不含豬肉,不含禽肉,不含海鮮,不含花生,不含堅果,不含芝麻,不含麩質,不含大豆,不含蛋品,不含牛/羊奶,全素,蛋素,奶素,奶蛋素,植物五辛素
58804,大飯糰泡菜鮪魚,158.0,1,277.0,48.2,7.1,6.2,0.9,0.0,493.0,0.0,1,0,1,0,1,1,0,1,0,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227221,芝麻香鬆飯糰,109.0,1,237.0,39.1,5.8,6.3,0.9,0.0,355.0,3.6,1,0,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
322510,鮑菇脆筍飯糰,108.0,1,165.0,32.7,3.7,2.2,0.3,0.0,329.0,1.5,1,0,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
396531,大飯糰辣炒豬肉,156.0,1,256.0,48.5,6.6,3.9,0.9,0.0,507.0,2.0,1,0,1,0,0,0,0,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
459125,稻荷壽司,161.0,1,287.0,54.3,8.9,3.9,1.1,0.0,634.0,15.5,1,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
493218,大飯糰韓式炙燒美乃雞,150.0,1,270.0,48.8,8.3,4.7,1.1,0.0,596.0,1.5,1,0,1,0,0,0,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
493236,大飯糰韓式烤牛肉,158.0,1,250.0,46.1,6.6,4.3,1.6,0.0,632.0,1.4,1,0,1,0,1,0,0,0,0,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539583,蔬食鮪魚飯糰,105.0,1,188.0,35.0,4.5,3.4,0.9,0.0,376.0,1.2,1,1,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
558422,鹽蔥燒肉飯糰,105.0,1,174.0,30.8,5.7,3.2,0.6,0.0,349.0,0.0,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
567691,香檸松阪豬烤飯糰,94.0,1,204.0,39.1,5.7,2.7,0.8,0.0,327.0,1.2,1,0,1,0,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577161,椒麻肉鬆飯糰,103.0,1,234.0,36.8,5.3,7.3,1.3,0.0,218.0,2.7,1,1,1,0,0,0,0,1,0,1,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
577216,清酒蒸蛤蜊烤飯糰,99.0,1,166.0,31.6,5.0,2.3,0.5,0.0,401.0,1.1,1,0,1,0,1,0,0,0,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577234,柚子胡椒雞肉烤飯糰,103.0,1,191.0,36.3,6.3,2.3,0.5,0.0,341.0,2.1,1,0,1,0,1,0,0,0,0,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611098,壽喜燒牛五花飯糰,110.0,1,209.0,30.4,7.3,6.5,2.3,0.0,316.0,0.8,1,0,1,0,1,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
612008,鮪魚飯糰,106.0,1,188.0,32.0,5.0,4.3,0.8,0.0,195.0,0.8,1,0,1,0,0,0,0,1,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
612026,明太子龍蝦風味沙拉飯糰,105.0,1,211.0,34.7,4.5,6.0,1.0,0.0,344.0,1.4,0,0,1,0,1,1,0,0,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612121,紅鮭飯糰,97.0,1,171.0,33.7,5.2,1.8,0.4,0.0,380.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
612135,鮭魚鮭魚卵飯糰,101.0,1,203.0,32.9,4.8,5.8,1.8,0.0,226.0,10.0,1,0,1,0,1,0,0,0,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613018,經典肉鬆飯糰,107.0,1,239.0,41.4,5.6,5.7,1.4,0.0,294.0,2.9,1,1,1,0,0,0,0,1,0,1,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
615010,雞肉飯飯糰,106.0,1,186.0,33.0,5.4,3.5,1.1,0.0,326.0,0.5,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
652038,大口法式奶油起司雞排飯糰,239.0,1,500.0,56.6,14.1,24.1,5.5,0.0,851.0,1.7,1,0,1,0,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652101,大口義式香草烤雞飯糰,242.0,1,414.0,51.3,16.5,16.0,3.6,0.0,973.0,3.1,1,0,1,0,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653216,大口宮保雞丁飯糰,238.0,1,395.0,61.6,12.1,11.2,2.1,0.0,526.0,5.7,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
